TU,Land mobile earth station,Station terrienne mobile terrestre
TW,Earth station in the earth exploration-satellite service,Station terrienne du service d’exploitation de la Terre par satellite
TX,Fixed earth station in the maritime radionavigation-satellite service,Station terrienne fixe du service de radionavigation maritime par satellite
TY,Base earth station,Station terrienne de base
TZ,Fixed earth station in the aeronautical radionavigation-satellite service,Station terrienne fixe de radionavigation aéronautique par satellite
UA,Mobile earth station,Station terrienne mobile
UB,Earth station in the broadcasting-satellite service (sound broadcasting),Station terrienne de radiodiffusion par satellite (radiodiffusion sonore)
UD,Space telecommand mobile earth station,Station terrienne mobile de télécommande spatiale
UE,Earth station in the standard frequency-satellite service,Station terrienne du service de fréquence étalon par satellite
UH,Mobile earth station in the space research service,Station terrienne mobile du service de recherche spatiale
UK,Space tracking mobile earth station,Station terrienne mobile de poursuite spatiale
UM,Mobile earth station in the meteorological-satellite service,Station terrienne mobile du service de météorologie par satellite
UN,Mobile earth station in the radionavigation-satellite service,Station terrienne mobile du service de radionavigation par satellite
UR,Space telemetering mobile earth station,Station terrienne mobile de télémesure spatiale
UT,Mobile earth station in the space operation service,Station terrienne mobile du service d’exploitation spatiale
UV,Earth station in the broadcasting-satellite service (television),Station terrienne du service de radiodiffusion par satellite (télévision)
UW,Mobile earth station in the earth-exploration-satellite service,Station terrienne mobile du service d’exploration de la Terre par satellite
UY,Earth station in the time signal-satellite service,Station terrienne du service des signaux horaires par satellite
VA,Land earth station,Station terrienne sur terre
